2026-05-16 16:39:44 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 340, Loss: {'action_dit_loss': 0.7996976971626282, 'future_video_loss': 0.12932242453098297, 'future_video_loss_scaled': 0.12932242453098297, 'total_loss': 0.92902010679245, 'data_time': 0.017086969999922985, 'model_time': 1.1352623289999428, 'learning_rate/backbone_interface': 6.800000000000001e-07, 'learning_rate/action_model': 6.800000000000001e-06, 'epoch': 0.05})
2026-05-16 16:39:55 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 350, Loss: {'action_dit_loss': 0.8546919226646423, 'future_video_loss': 0.11815384030342102, 'future_video_loss_scaled': 0.11815384030342102, 'total_loss': 0.9728457927703857, 'data_time': 0.011223523000012392, 'model_time': 1.1590886559999944, 'learning_rate/backbone_interface': 7.000000000000001e-07, 'learning_rate/action_model': 7.000000000000001e-06, 'epoch': 0.06})
2026-05-16 16:40:07 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 360, Loss: {'action_dit_loss': 0.8763176202774048, 'future_video_loss': 0.3623184561729431, 'future_video_loss_scaled': 0.3623184561729431, 'total_loss': 1.2386360168457031, 'data_time': 0.016975548999994317, 'model_time': 1.1587526170000046, 'learning_rate/backbone_interface': 7.2e-07, 'learning_rate/action_model': 7.2e-06, 'epoch': 0.06})
2026-05-16 16:40:19 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 370, Loss: {'action_dit_loss': 0.7592592835426331, 'future_video_loss': 0.0845467671751976, 'future_video_loss_scaled': 0.0845467671751976, 'total_loss': 0.8438060283660889, 'data_time': 0.010260562999974354, 'model_time': 1.1484100530000205, 'learning_rate/backbone_interface': 7.4e-07, 'learning_rate/action_model': 7.4e-06, 'epoch': 0.06})
2026-05-16 16:40:31 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 380, Loss: {'action_dit_loss': 0.7309291958808899, 'future_video_loss': 0.11060358583927155, 'future_video_loss_scaled': 0.11060358583927155, 'total_loss': 0.8415327668190002, 'data_time': 0.01630142200008322, 'model_time': 1.164217266000037, 'learning_rate/backbone_interface': 7.6e-07, 'learning_rate/action_model': 7.6e-06, 'epoch': 0.06})
2026-05-16 16:40:43 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 390, Loss: {'action_dit_loss': 0.8813749551773071, 'future_video_loss': 0.6486667394638062, 'future_video_loss_scaled': 0.6486667394638062, 'total_loss': 1.5300416946411133, 'data_time': 0.010326972000029855, 'model_time': 1.1510159540000586, 'learning_rate/backbone_interface': 7.8e-07, 'learning_rate/action_model': 7.8e-06, 'epoch': 0.06})
2026-05-16 16:40:56 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 400, Loss: {'action_dit_loss': 0.7804740071296692, 'future_video_loss': 0.4470048248767853, 'future_video_loss_scaled': 0.4470048248767853, 'total_loss': 1.2274788618087769, 'mse_score': 0.6547162373860677, 'data_time': 0.015731888999994226, 'model_time': 1.1636404549999497, 'learning_rate/backbone_interface': 8.000000000000001e-07, 'learning_rate/action_model': 8.000000000000001e-06, 'epoch': 0.06})
2026-05-16 16:41:07 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 410, Loss: {'action_dit_loss': 0.7933768630027771, 'future_video_loss': 0.2315138727426529, 'future_video_loss_scaled': 0.2315138727426529, 'total_loss': 1.0248907804489136, 'data_time': 0.01164638400007334, 'model_time': 1.1276465209999742, 'learning_rate/backbone_interface': 8.200000000000001e-07, 'learning_rate/action_model': 8.200000000000001e-06, 'epoch': 0.06})
2026-05-16 16:41:19 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 420, Loss: {'action_dit_loss': 0.7392348647117615, 'future_video_loss': 0.1132407858967781, 'future_video_loss_scaled': 0.1132407858967781, 'total_loss': 0.852475643157959, 'data_time': 0.021925090000081582, 'model_time': 1.1345948599999929, 'learning_rate/backbone_interface': 8.400000000000001e-07, 'learning_rate/action_model': 8.400000000000001e-06, 'epoch': 0.07})
2026-05-16 16:41:31 | INFO | __main__ | [Exp: dit4dit_G1_PINGPANGQIU] Step 430, Loss: {'action_dit_loss': 0.6944544315338135, 'future_video_loss': 0.12181848287582397, 'future_video_loss_scaled': 0.12181848287582397, 'total_loss': 0.8162729144096375, 'data_time': 0.01711954400002469, 'model_time': 1.1366004850000309, 'learning_rate/backbone_interface': 8.6e-07, 'learning_rate/action_model': 8.599999999999999e-06, 'epoch': 0.07})
